fips,hpsa_score,hpsa_score_norm,shortage_flag
18091,4.0,0.16,0
18093,11.0,0.44,0
18095,2.36,0.09,0
18097,7.02,0.28,0
18099,16.0,0.64,1
18101,11.33,0.45,0
18103,5.8,0.23,0
18105,14.0,0.56,0
18107,12.0,0.48,0
18109,9.0,0.36,0
18111,14.5,0.58,0
18113,7.67,0.31,0
18115,7.0,0.28,0
18117,14.86,0.59,0
18119,10.0,0.4,0
18121,9.67,0.39,0
18123,12.33,0.49,0
18125,11.0,0.44,0
18127,12.0,0.48,0
18129,12.0,0.48,0
18131,5.5,0.22,0
18133,9.33,0.37,0
18135,8.75,0.35,0
18137,1.62,0.06,0
18139,7.75,0.31,0
18141,13.62,0.54,0
18143,10.75,0.43,0
18145,5.33,0.21,0
18147,5.5,0.22,0
18149,13.0,0.52,0
18151,10.73,0.43,0
18153,8.5,0.34,0
18155,11.8,0.47,0
18157,13.6,0.54,0
18161,9.0,0.36,0
18163,14.24,0.57,0
18165,7.57,0.3,0
18167,16.25,0.65,1
18169,14.0,0.56,0
18171,12.33,0.49,0
18175,1.53,0.06,0
18177,10.4,0.42,0
18181,6.43,0.26,0
18183,3.0,0.12,0
19001,1.05,0.04,0
19003,11.5,0.46,0
19005,8.33,0.33,0
19007,4.75,0.19,0
19009,8.75,0.35,0
19011,3.13,0.13,0
19013,0.69,0.03,0
19015,5.81,0.23,0
19017,5.75,0.23,0
19019,12.0,0.48,0
19021,10.25,0.41,0
19023,12.6,0.5,0
19025,7.23,0.29,0
19027,5.0,0.2,0
19029,15.16,0.61,1
19031,1.37,0.05,0
19033,2.83,0.11,0
19035,3.67,0.15,0
19037,11.25,0.45,0
19039,2.24,0.09,0
19041,15.0,0.6,1
19043,2.72,0.11,0
19045,1.19,0.05,0
19047,9.33,0.37,0
19049,7.8,0.31,0
19051,6.33,0.25,0
19053,1.2,0.05,0
19055,2.93,0.12,0
19057,17.67,0.71,1
19059,0.0,0.0,0
19061,6.16,0.25,0
19063,14.0,0.56,0
