fips,diabetes,inactivity,mental_health,obesity,smoking
06063,11.25,22.6,18.4,30.0,13.35
06065,11.85,27.1,17.35,36.9,11.55
06067,10.75,21.3,17.65,29.55,11.8
06069,10.9,25.15,16.75,31.4,10.85
06071,11.95,26.35,17.7,33.3,12.35
06073,9.7,20.5,16.45,25.35,10.05
06075,9.75,18.85,14.05,17.15,8.8
06077,12.0,26.0,17.3,30.65,12.65
06079,9.3,19.85,17.2,26.85,10.75
06081,9.8,19.75,13.5,22.15,8.0
06083,10.55,24.15,17.35,26.85,11.15
06085,10.15,22.0,13.85,21.9,8.15
06087,9.6,20.55,17.05,26.3,10.35
06089,10.55,21.5,19.45,29.3,13.95
06091,12.7,25.65,18.6,32.45,15.35
06093,11.9,24.6,19.1,31.9,14.8
06095,11.3,24.7,17.05,31.25,11.3
06097,9.65,20.6,16.5,26.1,10.7
06099,11.55,30.2,18.95,36.5,13.5
06101,12.1,27.3,18.3,29.6,14.0
06103,11.8,26.7,19.6,31.7,15.3
06105,13.3,26.8,20.0,33.25,17.3
06107,13.1,32.75,18.95,35.15,14.1
06109,10.5,21.95,18.0,29.1,12.6
06111,10.65,23.2,16.6,25.7,10.45
06113,9.7,23.0,17.6,26.8,10.45
06115,11.15,26.05,19.45,30.85,14.5
08001,9.8,22.95,17.0,33.1,13.3
08003,11.25,24.15,18.05,31.2,13.35
08005,8.25,17.85,16.05,26.0,10.45
08007,9.85,18.7,15.6,27.4,12.05
08009,11.7,24.85,18.95,30.1,17.35
08011,13.9,29.4,18.75,33.85,20.25
08013,6.9,12.15,15.3,17.05,9.1
08014,6.8,13.3,14.55,22.2,8.7
08015,9.0,17.3,15.75,25.55,12.15
08017,10.0,20.45,17.5,28.75,14.0
08019,7.9,14.55,14.75,23.55,10.0
08021,12.4,25.25,16.75,30.4,13.3
08023,14.55,27.5,16.25,31.65,13.75
08025,11.15,25.25,17.8,31.6,17.95
08027,10.1,18.3,16.15,26.45,12.45
08029,10.6,21.85,17.55,26.8,14.8
08031,7.45,17.25,14.9,21.6,10.25
08033,10.15,20.25,17.6,27.2,15.0
08035,6.4,13.5,14.5,24.95,7.7
08037,8.0,16.1,14.95,23.95,10.1
08039,7.9,15.7,15.95,24.45,11.1
